"word" "frequency"
"the" "the" 102563
"and" "and" 51911
"that" "that" 22171
"for" "for" 21146
"you" "you" 14969
"with" "with" 14876
"was" "was" 13482
"have" "have" 10800
"this" "this" 10742
"are" "are" 9916
"but" "but" 9761
"not" "not" 8314
"from" "from" 8083
"his" "his" 6833
"its" "its" 6795
"they" "they" 6749
"will" "will" 6389
"all" "all" 6331
"one" "one" 5871
"has" "has" 5819
"about" "about" 5745
"said" "said" 5614
"out" "out" 5515
"when" "when" 5349
"who" "who" 5288
"just" "just" 5144
"had" "had" 5043
"what" "what" 5006
"more" "more" 5002
"your" "your" 4915
"like" "like" 4796
"her" "her" 4703
"can" "can" 4680
"were" "were" 4635
"their" "their" 4611
"would" "would" 4420
"she" "she" 4274
"there" "there" 4262
"some" "some" 4184
"been" "been" 4079
"get" "get" 3942
"time" "time" 3932
"new" "new" 3810
"our" "our" 3571
"them" "them" 3342
"which" "which" 3234
"how" "how" 3182
"people" "people" 3102
"dont" "dont" 3091
"now" "now" 3048
"also" "also" 3043
"into" "into" 2951
"know" "know" 2907
"than" "than" 2907
"other" "other" 2871
"after" "after" 2862
"good" "good" 2826
"first" "first" 2809
"day" "day" 2734
"make" "make" 2595
"back" "back" 2594
"over" "over" 2563
"two" "two" 2555
"then" "then" 2549
"last" "last" 2514
"him" "him" 2512
"only" "only" 2489
"because" "because" 2481
"see" "see" 2476
"love" "love" 2402
"could" "could" 2361
"year" "year" 2343
"well" "well" 2304
"much" "much" 2298
"going" "going" 2260
"even" "even" 2226
"way" "way" 2217
"think" "think" 2216
"years" "years" 2176
"really" "really" 2127
"where" "where" 2056
"too" "too" 2008
"still" "still" 1996
"most" "most" 1972
"want" "want" 1972
"any" "any" 1940
"did" "did" 1936
"work" "work" 1934
"those" "those" 1930
"many" "many" 1911
"great" "great" 1907
"off" "off" 1901
"got" "got" 1887
"before" "before" 1881
"very" "very" 1854
"these" "these" 1830
"right" "right" 1829
"being" "being" 1818
"here" "here" 1797
"made" "made" 1776
"through" "through" 1732
"down" "down" 1716
"take" "take" 1715
"need" "need" 1694
"little" "little" 1688
"say" "say" 1667
"while" "while" 1654
"life" "life" 1594
"today" "today" 1585
"home" "home" 1579
"may" "may" 1559
"should" "should" 1539
"state" "state" 1531
"never" "never" 1522
"thats" "thats" 1488
"things" "things" 1480
"come" "come" 1479
"next" "next" 1410
"best" "best" 1406
"school" "school" 1400
"cant" "cant" 1382
"week" "week" 1381
"something" "something" 1365
"few" "few" 1359
"around" "around" 1358
"another" "another" 1333
"didnt" "didnt" 1315
"every" "every" 1314
"three" "three" 1295
"since" "since" 1278
"world" "world" 1276
"why" "why" 1263
"long" "long" 1253
"city" "city" 1252
"such" "such" 1248
"same" "same" 1232
